experimentId,caseId,requirementId,mutatedField,expectedDecision,actualDecision,externalErrorCode,internalAuditReason,auditEventId,evidencePath,passed
ATTACK-MATRIX,AT-22,R-PROXY-001,proxy.schemeAllowlist,REJECT,REJECT,SCHEME_NOT_ALLOWED,SCHEME_REJECTED,audit-AT-22,docs/reports/attack-matrix/raw/AT-22.json,true
ATTACK-MATRIX,AT-23,R-PROXY-001,proxy.quota,REJECT,REJECT,PROXY_QUOTA_EXCEEDED,QUOTA_EXHAUSTED,audit-AT-23,docs/reports/attack-matrix/raw/AT-23.json,true
ATTACK-MATRIX,AT-24,R-PROOF-001,proofVersion,REJECT,REJECT,PROOF_INVALID,VERSION_REJECTED,audit-AT-24,docs/reports/attack-matrix/raw/AT-24.json,true
ATTACK-MATRIX,AT-25,R-PROOF-001,proofVersion,REJECT,REJECT,PROOF_INVALID,VERSION_REJECTED,audit-AT-25,docs/reports/attack-matrix/raw/AT-25.json,true
ATTACK-MATRIX,AT-26,R-PROOF-001,proofVersion,REJECT,REJECT,PROOF_INVALID,VERSION_REJECTED,audit-AT-26,docs/reports/attack-matrix/raw/AT-26.json,true
ATTACK-MATRIX,AT-27,R-PROOF-001,expiresAt,REJECT,REJECT,PROOF_INVALID,PROOF_EXPIRED,audit-AT-27,docs/reports/attack-matrix/raw/AT-27.json,true
ATTACK-MATRIX,AT-28,R-PROOF-001,keyId,REJECT,REJECT,PROOF_INVALID,PROOF_SIGNER_UNKNOWN,audit-AT-28,docs/reports/attack-matrix/raw/AT-28.json,true
ATTACK-MATRIX,AT-29,R-PROOF-001,keyEpoch,REJECT,REJECT,PROOF_INVALID,PROOF_SIGNER_UNKNOWN,audit-AT-29,docs/reports/attack-matrix/raw/AT-29.json,true
ATTACK-MATRIX,AT-30,R-PACKAGE-001,ciphertext,REJECT,REJECT,PACKAGE_INVALID,MANIFEST_MISMATCH,audit-AT-30,docs/reports/attack-matrix/raw/AT-30.json,true
ATTACK-MATRIX,AT-31,R-AAD-001,aad,REJECT,REJECT,AAD_MISMATCH,AAD_HASH_MISMATCH,audit-AT-31,docs/reports/attack-matrix/raw/AT-31.json,true
ATTACK-MATRIX,AT-32,R-REVOKE-001,grant.status,REJECT,REJECT,GRANT_REVOKED,GRANT_NOT_ACTIVE,audit-AT-32,docs/reports/attack-matrix/raw/AT-32.json,true
ATTACK-MATRIX,AT-33,R-REVOKE-001,contentKeyVersion,REJECT,REJECT,KEY_REVOKED,STALE_KEY_VERSION,audit-AT-33,docs/reports/attack-matrix/raw/AT-33.json,true
ATTACK-MATRIX,AT-34,R-THRESHOLD-001,shareCount,REJECT,REJECT,THRESHOLD_NOT_REACHED,INSUFFICIENT_QUORUM,audit-AT-34,docs/reports/attack-matrix/raw/AT-34.json,true
ATTACK-MATRIX,AT-35,R-THRESHOLD-001,memberId,REJECT,REJECT,THRESHOLD_SHARE_INVALID,DUPLICATE_MEMBER,audit-AT-35,docs/reports/attack-matrix/raw/AT-35.json,true
ATTACK-MATRIX,AT-36,R-THRESHOLD-001,sessionContext,REJECT,REJECT,THRESHOLD_SHARE_INVALID,SHARE_CONTEXT_MISMATCH,audit-AT-36,docs/reports/attack-matrix/raw/AT-36.json,true
ATTACK-MATRIX,AT-37,R-AUDIT-001,event.action,REJECT,REJECT,AUDIT_CHAIN_BROKEN,HASH_CHAIN_MISMATCH,audit-AT-37,docs/reports/attack-matrix/raw/AT-37.json,true
ATTACK-MATRIX,AT-38,R-AUDIT-001,event.sequence,REJECT,REJECT,AUDIT_CHAIN_BROKEN,HASH_CHAIN_MISMATCH,audit-AT-38,docs/reports/attack-matrix/raw/AT-38.json,true
ATTACK-MATRIX,AT-39,R-PROFILE-001,route,REJECT,REJECT,DEMO_ONLY_API_DISABLED,PROFILE_REJECTED,audit-AT-39,docs/reports/attack-matrix/raw/AT-39.json,true
ATTACK-MATRIX,AT-40,R-PROFILE-001,algorithmSuite,REJECT,REJECT,CRYPTO_PROFILE_NOT_ALLOWED,PROFILE_REJECTED,audit-AT-40,docs/reports/attack-matrix/raw/AT-40.json,true
